culture,pH,rainfall_mm,temperature_C
Patate douce (Sweet Potato),5.81,939.0,21.9
Riz pluvial (Rainfed Rice),6.18,642.3,30.6
Riz pluvial (Rainfed Rice),5.55,644.0,24.5
Sorgho (Sorghum),6.55,545.6,27.3
Manioc (Cassava),6.51,1054.9,29.6
Riz pluvial (Rainfed Rice),5.73,686.4,24.8
Arachide (Groundnut),5.86,828.4,26.3
Sésame (Sesame),6.51,619.0,31.4
Mil (Pearl Millet),5.24,687.0,30.5
Maïs (Maize),6.25,520.4,32.3
Sésame (Sesame),6.18,663.7,34.0
Gombo (Okra),6.4,880.3,26.6
Sésame (Sesame),6.7,531.9,28.7
Maïs (Maize),6.05,861.5,32.8
Riz pluvial (Rainfed Rice),5.91,630.3,25.1
Sorgho (Sorghum),6.91,553.3,28.9
Gombo (Okra),6.72,742.3,24.2
Gombo (Okra),6.14,726.4,20.1
Sorgho (Sorghum),6.2,511.6,26.3
Maïs (Maize),6.07,527.1,27.4
Riz pluvial (Rainfed Rice),5.65,650.4,31.2
Manioc (Cassava),5.66,1448.7,32.8
Mil (Pearl Millet),5.46,643.7,34.3
Manioc (Cassava),6.41,1004.2,32.5
Patate douce (Sweet Potato),5.94,899.7,24.7
Mil (Pearl Millet),5.51,839.8,33.3
Mil (Pearl Millet),5.55,801.1,30.6
Patate douce (Sweet Potato),5.99,913.3,28.2
Sorgho (Sorghum),6.65,433.3,32.6
Manioc (Cassava),5.94,1348.6,29.8
Maïs (Maize),6.22,593.2,26.9
Manioc (Cassava),6.46,1068.0,30.2
Mil (Pearl Millet),5.59,504.0,34.1
Niébé (Cowpea),5.51,593.7,27.0
Niébé (Cowpea),6.32,551.3,25.6
Arachide (Groundnut),5.92,741.6,26.6
Mil (Pearl Millet),5.6,833.3,39.6
Niébé (Cowpea),6.37,405.1,32.0
Mil (Pearl Millet),5.72,652.6,32.8
Mil (Pearl Millet),5.4,514.8,40.0
Riz pluvial (Rainfed Rice),5.98,680.9,26.4
Sésame (Sesame),6.26,444.1,30.6
Riz pluvial (Rainfed Rice),5.96,642.6,24.7
Patate douce (Sweet Potato),6.12,1072.0,27.9
Niébé (Cowpea),6.34,498.4,26.0
Patate douce (Sweet Potato),6.12,1007.4,27.3
Sorgho (Sorghum),6.3,469.7,31.7
Maïs (Maize),6.46,613.4,21.5
Maïs (Maize),6.24,833.7,26.7
Mil (Pearl Millet),5.93,720.9,37.4
Sésame (Sesame),6.6,560.4,32.8
Mil (Pearl Millet),5.69,813.8,31.3
Manioc (Cassava),6.36,1003.9,27.3
Riz pluvial (Rainfed Rice),6.42,657.4,31.4
Mil (Pearl Millet),5.9,604.7,36.3
Sorgho (Sorghum),6.23,426.3,30.4
Gombo (Okra),6.36,759.6,33.8
Maïs (Maize),6.35,875.4,22.7
Mil (Pearl Millet),5.86,767.4,36.2
Manioc (Cassava),6.83,1279.2,27.0
Sorgho (Sorghum),6.68,543.9,26.7
Manioc (Cassava),6.51,1286.3,27.6
Sorgho (Sorghum),6.06,524.7,26.3
Arachide (Groundnut),6.08,753.4,24.5
Niébé (Cowpea),6.25,525.2,29.4
Niébé (Cowpea),6.11,404.9,33.8
Manioc (Cassava),5.99,1080.2,32.5
Manioc (Cassava),6.15,1404.4,33.5
Riz pluvial (Rainfed Rice),6.13,688.1,30.6
Sorgho (Sorghum),7.14,522.5,26.7
Niébé (Cowpea),6.35,414.1,28.5
Mil (Pearl Millet),5.37,555.5,39.7
Maïs (Maize),6.25,874.3,24.1
Sorgho (Sorghum),6.79,495.3,27.4
Niébé (Cowpea),6.24,594.5,27.8
Arachide (Groundnut),5.96,562.1,29.4
Arachide (Groundnut),6.08,515.5,29.7
Sorgho (Sorghum),7.3,581.0,25.2
Mil (Pearl Millet),5.87,733.5,39.3
Sorgho (Sorghum),6.72,577.8,29.1
Riz pluvial (Rainfed Rice),6.23,614.1,25.7
Mil (Pearl Millet),5.22,774.3,37.4
Sorgho (Sorghum),7.09,623.5,34.9
Mil (Pearl Millet),5.91,682.8,35.7
Mil (Pearl Millet),5.29,766.6,37.8
Gombo (Okra),5.83,660.8,31.2
Arachide (Groundnut),5.97,656.8,22.2
Sorgho (Sorghum),6.04,460.6,28.0
Maïs (Maize),6.46,745.9,28.5
Gombo (Okra),5.85,626.4,31.1
Manioc (Cassava),6.94,1363.8,34.9
Arachide (Groundnut),5.88,799.2,22.4
Sésame (Sesame),6.64,530.9,30.7
Arachide (Groundnut),5.89,857.4,22.0
Sésame (Sesame),6.24,442.0,26.0
Gombo (Okra),6.27,876.5,31.1
Sorgho (Sorghum),7.18,409.5,29.4
Sésame (Sesame),6.27,586.1,33.1
Riz pluvial (Rainfed Rice),5.71,636.4,30.1
Arachide (Groundnut),6.15,648.6,21.7
Gombo (Okra),6.35,619.9,20.7
Gombo (Okra),6.02,792.2,33.3
Mil (Pearl Millet),5.55,824.1,34.1
Gombo (Okra),6.78,877.4,32.8
Maïs (Maize),6.42,527.0,20.6
Sésame (Sesame),6.91,557.1,30.6
Manioc (Cassava),5.61,1110.0,25.3
Riz pluvial (Rainfed Rice),6.36,607.1,32.0
Niébé (Cowpea),5.99,359.2,34.1
Sésame (Sesame),6.84,439.7,26.5
Niébé (Cowpea),6.46,576.6,29.1
Sésame (Sesame),6.78,559.1,34.8
Patate douce (Sweet Potato),6.0,1046.1,25.9
Sorgho (Sorghum),6.78,481.2,32.3
Gombo (Okra),6.19,714.9,31.2
Sésame (Sesame),6.77,629.8,26.0
Manioc (Cassava),6.86,1399.2,31.5
Riz pluvial (Rainfed Rice),5.82,643.6,24.5
Patate douce (Sweet Potato),5.93,987.7,28.1
Manioc (Cassava),6.59,1483.8,31.9
Niébé (Cowpea),6.21,363.3,34.3
Arachide (Groundnut),6.09,537.7,24.8
Sésame (Sesame),6.7,570.1,28.4
Sésame (Sesame),6.78,433.1,32.3
Niébé (Cowpea),5.57,482.3,26.1
Manioc (Cassava),6.75,1236.8,31.0
Manioc (Cassava),7.0,1288.3,31.6
Maïs (Maize),6.05,857.3,21.8
Sésame (Sesame),6.21,627.9,34.9
Patate douce (Sweet Potato),6.03,757.3,22.0
Maïs (Maize),6.14,545.8,32.0
Arachide (Groundnut),6.03,554.6,23.7
Arachide (Groundnut),6.18,519.4,28.9
Niébé (Cowpea),6.34,472.0,28.9
Riz pluvial (Rainfed Rice),6.44,634.6,26.5
Gombo (Okra),5.9,888.9,31.8
Manioc (Cassava),6.6,1435.0,27.3
Patate douce (Sweet Potato),6.0,845.6,26.3
Maïs (Maize),6.0,766.0,24.2
Patate douce (Sweet Potato),6.01,1028.7,22.0
Riz pluvial (Rainfed Rice),6.46,676.7,30.2
Patate douce (Sweet Potato),6.12,815.1,28.2
Patate douce (Sweet Potato),6.19,918.5,29.5
Arachide (Groundnut),5.99,569.5,24.6
Patate douce (Sweet Potato),5.85,1017.6,28.7
Manioc (Cassava),6.87,1285.5,34.7
Sésame (Sesame),6.79,444.9,25.6
Manioc (Cassava),6.37,1019.8,26.8
Gombo (Okra),6.04,888.2,26.8
Arachide (Groundnut),6.11,567.7,27.5
Riz pluvial (Rainfed Rice),6.36,636.0,30.6
Sorgho (Sorghum),6.43,580.1,27.1
Gombo (Okra),6.21,623.2,27.0
Mil (Pearl Millet),5.44,795.4,32.4
Riz pluvial (Rainfed Rice),6.12,692.8,25.2
Gombo (Okra),6.05,745.0,32.1
Patate douce (Sweet Potato),5.99,849.5,23.1
Sésame (Sesame),6.21,474.4,32.0
Riz pluvial (Rainfed Rice),6.26,683.6,29.0
Riz pluvial (Rainfed Rice),6.39,629.3,28.7
Sorgho (Sorghum),7.04,625.3,32.7
Riz pluvial (Rainfed Rice),6.09,676.0,31.6
Niébé (Cowpea),6.22,585.6,25.2
Gombo (Okra),6.29,646.2,26.5
Manioc (Cassava),6.9,1435.3,31.5
Gombo (Okra),6.73,660.5,34.0
Patate douce (Sweet Potato),5.91,776.3,25.6
Sésame (Sesame),6.22,500.7,30.4
Arachide (Groundnut),6.12,754.4,23.8
Riz pluvial (Rainfed Rice),5.8,644.1,30.0
Gombo (Okra),6.13,603.5,23.7
Patate douce (Sweet Potato),6.17,1011.7,28.0
Patate douce (Sweet Potato),5.89,793.1,23.2
Manioc (Cassava),6.43,1153.7,32.6
Maïs (Maize),6.44,518.4,21.0
Sorgho (Sorghum),7.42,493.2,30.2
Manioc (Cassava),6.4,1402.6,29.5
Sésame (Sesame),6.81,464.8,34.1
Sorgho (Sorghum),6.82,581.2,33.9
Riz pluvial (Rainfed Rice),6.37,653.8,27.1
Riz pluvial (Rainfed Rice),6.48,620.0,28.2
Riz pluvial (Rainfed Rice),5.68,671.7,29.7
Patate douce (Sweet Potato),5.86,781.3,24.4
Mil (Pearl Millet),5.24,652.4,34.3
Mil (Pearl Millet),5.55,894.3,34.1
Maïs (Maize),6.5,724.9,27.0
Arachide (Groundnut),5.98,715.8,22.6
Maïs (Maize),6.48,555.9,29.1
Riz pluvial (Rainfed Rice),6.01,605.7,30.5
Arachide (Groundnut),5.84,633.5,26.6
Mil (Pearl Millet),5.85,684.5,37.7
Arachide (Groundnut),6.08,735.3,25.6
Mil (Pearl Millet),5.73,660.8,37.3
Manioc (Cassava),6.72,1378.4,27.7
Sésame (Sesame),6.53,480.9,26.9
Mil (Pearl Millet),5.94,849.9,30.1
Mil (Pearl Millet),5.21,843.9,33.1
Patate douce (Sweet Potato),6.09,911.3,25.2
Sorgho (Sorghum),7.26,588.4,34.6
Manioc (Cassava),5.66,1023.6,30.8
Sorgho (Sorghum),6.25,569.4,25.5
Mil (Pearl Millet),5.55,812.1,38.7
Maïs (Maize),6.34,789.5,23.5
Patate douce (Sweet Potato),6.0,1027.0,25.0
Patate douce (Sweet Potato),6.13,820.4,21.9
Riz pluvial (Rainfed Rice),6.31,680.0,26.5
Sorgho (Sorghum),7.05,487.5,34.8
Manioc (Cassava),6.33,1349.1,26.1
Patate douce (Sweet Potato),6.07,1094.3,28.6
Sésame (Sesame),6.27,469.9,28.1
Niébé (Cowpea),5.55,396.4,32.5
Maïs (Maize),6.34,603.5,22.5
Niébé (Cowpea),5.94,584.1,34.8
Sorgho (Sorghum),6.04,611.3,31.3
Sésame (Sesame),6.14,506.4,26.2
Sésame (Sesame),6.49,592.9,32.8
Patate douce (Sweet Potato),6.14,979.0,22.0
Manioc (Cassava),6.67,1364.4,27.3
Patate douce (Sweet Potato),6.05,783.6,26.0
Maïs (Maize),6.04,882.5,25.6
Riz pluvial (Rainfed Rice),5.93,650.1,29.2
Sorgho (Sorghum),6.43,405.4,28.8
Patate douce (Sweet Potato),5.89,1013.8,23.2
Sorgho (Sorghum),6.36,476.2,30.1
Manioc (Cassava),6.25,1048.0,33.8
Niébé (Cowpea),6.46,589.2,31.9
Sésame (Sesame),6.34,526.1,32.3
Maïs (Maize),6.04,658.1,26.6
Maïs (Maize),6.48,789.3,22.5
Niébé (Cowpea),5.92,449.8,33.8
Sésame (Sesame),6.11,588.5,27.0
Riz pluvial (Rainfed Rice),6.41,698.4,28.9
Niébé (Cowpea),6.4,538.6,26.7
Riz pluvial (Rainfed Rice),6.27,604.7,30.0
Gombo (Okra),5.97,623.5,23.7
Maïs (Maize),6.03,558.8,27.4
Patate douce (Sweet Potato),5.86,757.9,26.9
Arachide (Groundnut),6.04,887.2,23.4
Maïs (Maize),6.0,768.8,21.4
Sorgho (Sorghum),6.65,404.7,30.0
Mil (Pearl Millet),5.66,539.0,32.3
Maïs (Maize),6.18,673.1,28.3
Sorgho (Sorghum),6.44,460.9,28.6
Riz pluvial (Rainfed Rice),6.4,669.0,31.5
Manioc (Cassava),6.7,1223.2,25.9
Riz pluvial (Rainfed Rice),5.54,679.4,27.4
Mil (Pearl Millet),5.25,506.6,39.2
Sorgho (Sorghum),7.08,583.2,25.8
Gombo (Okra),6.6,777.1,26.5
Maïs (Maize),6.25,520.5,28.1
Gombo (Okra),6.76,813.6,32.9
Arachide (Groundnut),6.19,742.7,25.0
Manioc (Cassava),6.14,1137.3,26.4
Arachide (Groundnut),5.96,629.5,26.6
Maïs (Maize),6.15,885.9,21.4
Riz pluvial (Rainfed Rice),5.69,613.5,29.7
Mil (Pearl Millet),5.68,835.0,33.5
Maïs (Maize),6.14,793.6,28.7
Manioc (Cassava),5.98,1053.3,32.7
Manioc (Cassava),6.9,1246.7,32.6
Patate douce (Sweet Potato),5.8,784.0,23.6
Riz pluvial (Rainfed Rice),5.75,610.2,31.7
Gombo (Okra),6.56,748.8,34.1
Sorgho (Sorghum),7.27,596.2,33.3
Arachide (Groundnut),6.02,759.6,27.0
Arachide (Groundnut),6.07,675.9,21.4
Patate douce (Sweet Potato),5.9,826.4,27.9
Maïs (Maize),6.27,587.6,30.8
Niébé (Cowpea),5.95,495.3,25.7
Sorgho (Sorghum),6.64,470.6,25.4
Riz pluvial (Rainfed Rice),6.44,643.2,30.9
Gombo (Okra),5.95,666.0,24.0
Maïs (Maize),6.27,732.7,21.3
Sorgho (Sorghum),6.25,426.1,26.5
Manioc (Cassava),6.85,1033.2,31.3
Maïs (Maize),6.01,602.2,22.8
Patate douce (Sweet Potato),6.17,984.9,25.6
Patate douce (Sweet Potato),6.02,926.0,28.3
Maïs (Maize),6.32,583.1,20.4
Sorgho (Sorghum),6.77,585.1,26.8
Arachide (Groundnut),6.13,579.9,27.0
Arachide (Groundnut),6.07,795.1,22.9
Niébé (Cowpea),5.9,435.1,30.2
Maïs (Maize),6.23,614.9,28.0
Manioc (Cassava),5.79,1123.2,33.3
Manioc (Cassava),6.48,1402.8,29.8
Gombo (Okra),6.68,819.2,22.6
Sorgho (Sorghum),7.45,485.7,31.8
Gombo (Okra),6.68,893.3,29.4
Maïs (Maize),6.32,841.8,21.4
Patate douce (Sweet Potato),5.94,868.9,22.8
Manioc (Cassava),6.19,1350.4,28.7
Maïs (Maize),6.44,540.1,25.5
Sésame (Sesame),6.32,591.6,34.6
Patate douce (Sweet Potato),6.1,806.3,25.0
Sésame (Sesame),6.33,632.0,31.5
Riz pluvial (Rainfed Rice),5.5,664.7,27.1
Sorgho (Sorghum),7.34,536.6,26.3
Mil (Pearl Millet),5.63,824.0,32.1
Manioc (Cassava),5.77,1439.8,27.2
Mil (Pearl Millet),5.84,660.7,35.9
Riz pluvial (Rainfed Rice),5.62,671.8,28.4
Riz pluvial (Rainfed Rice),5.78,678.8,30.7
Maïs (Maize),6.05,704.5,20.9
Patate douce (Sweet Potato),5.89,765.3,26.2
Patate douce (Sweet Potato),5.83,933.2,28.6
Manioc (Cassava),5.9,1014.1,30.5
Sorgho (Sorghum),7.42,428.8,27.6
Patate douce (Sweet Potato),6.05,988.5,24.1
Niébé (Cowpea),5.65,463.3,29.5
Sorgho (Sorghum),6.22,530.8,28.4
Patate douce (Sweet Potato),6.13,800.6,22.2
Arachide (Groundnut),5.81,566.0,22.1
Sésame (Sesame),6.18,480.6,31.5
Niébé (Cowpea),6.06,368.2,25.5
Sorgho (Sorghum),7.44,462.7,28.6
Sésame (Sesame),6.12,586.3,32.3
Maïs (Maize),6.49,813.9,32.2
Arachide (Groundnut),5.98,600.5,27.5
Sorgho (Sorghum),6.47,439.5,27.8
Arachide (Groundnut),5.81,523.3,21.1
Manioc (Cassava),5.96,1489.5,30.4
Gombo (Okra),6.6,710.7,30.8
Sorgho (Sorghum),6.39,645.5,26.5
Riz pluvial (Rainfed Rice),6.05,620.7,29.3
Manioc (Cassava),5.96,1182.3,26.4
Mil (Pearl Millet),5.88,744.7,33.2
Riz pluvial (Rainfed Rice),6.42,601.1,28.1
Patate douce (Sweet Potato),6.03,827.9,28.0
Mil (Pearl Millet),5.27,579.6,39.6
Niébé (Cowpea),6.07,568.4,26.4
Mil (Pearl Millet),5.88,671.0,33.0
Sésame (Sesame),6.19,423.8,31.9
Arachide (Groundnut),6.04,612.6,24.2
Manioc (Cassava),6.1,1009.1,26.3
Sésame (Sesame),6.24,568.6,30.4
Niébé (Cowpea),6.49,576.0,26.3
Sorgho (Sorghum),6.22,607.3,26.0
Niébé (Cowpea),6.08,422.2,34.2
Arachide (Groundnut),6.09,695.8,29.9
Niébé (Cowpea),6.37,373.1,33.4
Arachide (Groundnut),6.09,708.9,26.0
Sorgho (Sorghum),7.41,585.2,34.9
Patate douce (Sweet Potato),5.81,1015.3,21.9
Sésame (Sesame),6.64,620.8,28.5
Sésame (Sesame),6.75,506.7,32.9
Maïs (Maize),6.06,536.8,21.0
Riz pluvial (Rainfed Rice),6.39,664.9,25.7
Maïs (Maize),6.44,589.3,20.3
Maïs (Maize),6.4,866.6,31.1
Manioc (Cassava),6.85,1497.2,29.7
Mil (Pearl Millet),5.42,757.2,33.6
Manioc (Cassava),6.05,1105.4,29.0
Sésame (Sesame),6.95,681.7,28.3
Riz pluvial (Rainfed Rice),6.02,656.0,25.0
Mil (Pearl Millet),5.24,580.5,38.8
Riz pluvial (Rainfed Rice),5.54,665.0,30.0
Manioc (Cassava),6.73,1495.0,30.2
Maïs (Maize),6.36,512.7,25.7
Sorgho (Sorghum),7.44,578.9,26.3
Arachide (Groundnut),5.94,717.0,26.4
Mil (Pearl Millet),5.92,518.7,34.1
Riz pluvial (Rainfed Rice),5.64,633.5,31.4
Sésame (Sesame),6.23,626.7,29.8
Riz pluvial (Rainfed Rice),6.48,661.5,24.1
Riz pluvial (Rainfed Rice),6.01,667.5,24.1
Manioc (Cassava),5.83,1054.6,32.3
Arachide (Groundnut),5.87,862.8,27.6
Maïs (Maize),6.39,728.4,26.5
Sorgho (Sorghum),7.46,584.6,32.1
Patate douce (Sweet Potato),5.93,1072.9,26.2
Patate douce (Sweet Potato),6.12,764.9,27.1
Gombo (Okra),6.61,731.3,31.9
Mil (Pearl Millet),5.46,890.4,33.2
Mil (Pearl Millet),5.42,599.2,34.6
Mil (Pearl Millet),5.44,697.8,33.6
Sésame (Sesame),6.4,618.5,33.6
Manioc (Cassava),5.66,1147.1,30.2
Mil (Pearl Millet),5.82,616.8,39.7
Gombo (Okra),6.39,707.1,23.1
Maïs (Maize),6.01,866.2,20.7
Riz pluvial (Rainfed Rice),6.34,618.2,30.4
Arachide (Groundnut),5.86,750.0,28.9
Gombo (Okra),5.99,709.5,33.5
Manioc (Cassava),6.79,1071.1,29.8
Mil (Pearl Millet),5.56,753.4,30.3
Maïs (Maize),6.49,671.6,23.0
Riz pluvial (Rainfed Rice),5.67,618.4,26.0
Maïs (Maize),6.06,683.8,20.5
Riz pluvial (Rainfed Rice),6.38,615.5,28.5
Sorgho (Sorghum),6.12,526.6,29.3
Maïs (Maize),6.09,592.5,32.2
Maïs (Maize),6.26,614.5,21.7
Maïs (Maize),6.02,616.9,30.4
Niébé (Cowpea),5.78,587.5,25.1
Sorgho (Sorghum),6.76,607.7,31.0
Sorgho (Sorghum),7.34,571.9,32.9
Niébé (Cowpea),5.59,398.0,33.6
Niébé (Cowpea),6.23,533.5,32.8
Niébé (Cowpea),5.72,452.5,29.9
Mil (Pearl Millet),5.9,536.8,32.8
Sorgho (Sorghum),7.12,485.4,25.7
Arachide (Groundnut),6.01,608.1,26.3
Manioc (Cassava),6.5,1366.9,32.2
Sésame (Sesame),6.76,596.3,28.0
Maïs (Maize),6.45,641.9,25.9
Gombo (Okra),6.58,666.8,20.3
Niébé (Cowpea),6.28,468.1,33.6
Sorgho (Sorghum),6.96,515.0,32.9
Riz pluvial (Rainfed Rice),6.39,624.9,25.2
Mil (Pearl Millet),5.98,556.7,38.7
Arachide (Groundnut),6.11,616.7,23.5
Riz pluvial (Rainfed Rice),6.14,654.0,31.0
Mil (Pearl Millet),5.62,751.6,36.1
Manioc (Cassava),6.2,1237.5,27.9
Arachide (Groundnut),6.19,794.2,22.6
Sorgho (Sorghum),7.13,513.4,29.8
Gombo (Okra),5.84,782.1,28.8
Manioc (Cassava),5.79,1028.7,26.9
Manioc (Cassava),6.12,1229.4,34.9
Manioc (Cassava),5.72,1044.8,28.5
Mil (Pearl Millet),5.94,591.0,35.1
Patate douce (Sweet Potato),5.98,1056.2,27.7
Manioc (Cassava),6.44,1223.0,28.7
Patate douce (Sweet Potato),6.0,928.6,21.7
Gombo (Okra),6.8,699.2,34.8
Manioc (Cassava),5.58,1179.2,34.1
Sorgho (Sorghum),6.48,429.8,28.5
Sésame (Sesame),6.95,410.9,31.5
Sésame (Sesame),6.34,660.0,31.1
Manioc (Cassava),6.63,1240.0,29.2
Sorgho (Sorghum),6.36,429.7,32.5
Maïs (Maize),6.12,579.6,22.3
Patate douce (Sweet Potato),6.07,961.5,23.8
Sorgho (Sorghum),7.09,436.8,31.3
Patate douce (Sweet Potato),6.18,851.5,22.7
Niébé (Cowpea),5.91,439.5,28.3
Riz pluvial (Rainfed Rice),5.55,621.4,26.7
Manioc (Cassava),6.78,1162.9,27.3
Maïs (Maize),6.42,801.0,25.9
Mil (Pearl Millet),5.67,844.8,39.1
Riz pluvial (Rainfed Rice),5.67,661.0,26.3
Sorgho (Sorghum),6.46,582.6,34.7
Mil (Pearl Millet),5.84,715.4,32.0
Niébé (Cowpea),5.71,535.4,34.1
Maïs (Maize),6.16,556.9,32.0
Sorgho (Sorghum),6.46,439.3,25.0
Sorgho (Sorghum),7.34,582.1,32.3
Sorgho (Sorghum),6.17,535.5,32.1
Riz pluvial (Rainfed Rice),5.73,636.1,25.1
Mil (Pearl Millet),5.44,870.6,33.6
Sésame (Sesame),6.21,635.3,25.2
Niébé (Cowpea),6.25,384.7,30.4
Maïs (Maize),6.01,754.7,32.7
Niébé (Cowpea),5.67,460.2,28.1
Sésame (Sesame),6.11,422.8,31.7
Manioc (Cassava),6.64,1088.1,32.3
Manioc (Cassava),6.22,1098.0,33.2
Gombo (Okra),5.82,699.9,22.5
Sorgho (Sorghum),7.16,522.4,32.4
Gombo (Okra),5.87,831.5,27.2
Sésame (Sesame),6.49,498.7,30.0
Maïs (Maize),6.02,517.8,23.5
Patate douce (Sweet Potato),5.98,868.9,27.2
Mil (Pearl Millet),5.82,664.7,32.7
Maïs (Maize),6.15,708.2,30.8
Patate douce (Sweet Potato),5.92,768.4,27.0
Riz pluvial (Rainfed Rice),5.98,686.2,28.8
Sésame (Sesame),6.71,660.4,33.9
Niébé (Cowpea),6.1,419.3,33.9
Patate douce (Sweet Potato),6.05,899.1,22.2
Maïs (Maize),6.4,831.1,22.4
Mil (Pearl Millet),5.56,599.2,37.2
Gombo (Okra),6.79,667.8,28.1
Riz pluvial (Rainfed Rice),6.34,691.2,31.9
Sésame (Sesame),6.72,656.1,32.7
Maïs (Maize),6.17,564.4,32.9
Riz pluvial (Rainfed Rice),6.27,673.0,28.4
Riz pluvial (Rainfed Rice),6.48,684.2,29.7
Mil (Pearl Millet),5.86,506.4,30.5
Niébé (Cowpea),5.68,387.4,28.0
Patate douce (Sweet Potato),6.18,792.1,25.5
Maïs (Maize),6.03,874.1,21.8
Sésame (Sesame),6.14,492.7,26.4
Niébé (Cowpea),5.65,451.1,29.9
Mil (Pearl Millet),5.93,864.8,30.3
Gombo (Okra),6.45,744.1,20.6
Sorgho (Sorghum),6.44,465.7,27.5
Niébé (Cowpea),6.31,470.2,33.2
Riz pluvial (Rainfed Rice),6.23,678.7,27.3
Manioc (Cassava),6.08,1308.8,34.5
Gombo (Okra),5.87,857.7,28.8
Niébé (Cowpea),5.54,535.4,28.9
Niébé (Cowpea),6.15,400.9,27.0
Riz pluvial (Rainfed Rice),5.66,628.3,26.7
Gombo (Okra),6.2,788.0,31.6
Mil (Pearl Millet),5.51,621.9,34.8
Mil (Pearl Millet),5.22,804.9,37.8
Niébé (Cowpea),5.5,442.3,34.7
Arachide (Groundnut),6.0,631.5,23.7
Manioc (Cassava),6.04,1437.9,25.5
Gombo (Okra),6.08,625.3,23.8
Patate douce (Sweet Potato),6.18,761.9,23.8
Gombo (Okra),5.89,846.9,30.1
Sésame (Sesame),6.3,579.6,31.6
Manioc (Cassava),6.76,1040.8,32.9
Sorgho (Sorghum),7.1,629.7,31.4
Gombo (Okra),6.04,825.8,20.7
Mil (Pearl Millet),5.28,671.5,33.9
Riz pluvial (Rainfed Rice),5.9,628.0,28.0
Maïs (Maize),6.34,747.6,28.4
Niébé (Cowpea),6.25,553.2,25.3
Niébé (Cowpea),6.21,568.7,33.0
Riz pluvial (Rainfed Rice),5.97,684.1,27.9
Mil (Pearl Millet),5.84,674.4,37.0
Manioc (Cassava),6.09,1200.8,29.8
Manioc (Cassava),5.97,1113.9,26.8
Riz pluvial (Rainfed Rice),5.91,620.7,24.1
Manioc (Cassava),6.5,1004.2,30.4
Maïs (Maize),6.14,719.2,23.3
Niébé (Cowpea),5.8,493.8,31.2
Arachide (Groundnut),5.83,777.5,23.2
Sésame (Sesame),6.54,555.7,32.0
Gombo (Okra),6.14,753.2,29.0
Manioc (Cassava),5.78,1093.1,31.7
Manioc (Cassava),6.82,1479.7,26.5
Gombo (Okra),6.21,834.7,22.1
Patate douce (Sweet Potato),6.01,959.3,28.3
Sorgho (Sorghum),6.24,583.3,26.2
Manioc (Cassava),6.21,1459.6,26.8
Patate douce (Sweet Potato),5.8,855.4,27.0
Riz pluvial (Rainfed Rice),6.36,675.0,25.8
Niébé (Cowpea),6.33,468.9,32.0
Maïs (Maize),6.3,567.4,24.8
Riz pluvial (Rainfed Rice),6.31,629.2,24.6
Maïs (Maize),6.22,712.5,24.1
Mil (Pearl Millet),5.38,538.4,36.8
Riz pluvial (Rainfed Rice),6.08,670.8,25.8
Arachide (Groundnut),6.01,537.8,22.4
Riz pluvial (Rainfed Rice),6.12,679.8,28.1
Arachide (Groundnut),6.18,741.5,27.3
Maïs (Maize),6.4,703.5,26.4
Mil (Pearl Millet),5.23,896.9,38.5
Arachide (Groundnut),5.88,808.0,26.0
Gombo (Okra),6.48,610.2,33.1
Manioc (Cassava),6.08,1163.7,26.4
Patate douce (Sweet Potato),6.06,898.6,24.0
Riz pluvial (Rainfed Rice),6.38,603.3,29.5
Gombo (Okra),6.14,655.0,34.7
Riz pluvial (Rainfed Rice),5.87,643.0,30.3
Arachide (Groundnut),6.09,813.1,27.1
Riz pluvial (Rainfed Rice),6.06,670.4,30.2
Patate douce (Sweet Potato),5.85,876.0,27.0
Sésame (Sesame),6.08,593.5,28.8
Riz pluvial (Rainfed Rice),5.58,658.8,27.1
Sésame (Sesame),6.43,410.7,29.7
Mil (Pearl Millet),5.78,663.6,35.7
Arachide (Groundnut),5.98,530.1,26.0
Riz pluvial (Rainfed Rice),5.51,652.5,26.9
Manioc (Cassava),6.95,1246.5,25.7
Niébé (Cowpea),5.55,546.5,26.1
Sorgho (Sorghum),6.7,637.7,28.6
Manioc (Cassava),6.66,1114.2,28.1
Mil (Pearl Millet),5.89,865.9,31.3
Arachide (Groundnut),6.01,823.5,26.2
Sésame (Sesame),6.44,556.4,27.1
Gombo (Okra),6.52,699.5,27.2
Arachide (Groundnut),5.93,888.8,26.8
Patate douce (Sweet Potato),6.19,1029.7,29.1
Niébé (Cowpea),6.06,474.4,34.0
Riz pluvial (Rainfed Rice),6.46,694.7,25.0
Patate douce (Sweet Potato),5.96,841.1,26.4
Mil (Pearl Millet),5.32,564.3,39.7
Sésame (Sesame),6.43,470.7,33.8
Niébé (Cowpea),6.43,527.0,31.0
Niébé (Cowpea),6.39,441.3,32.4
Patate douce (Sweet Potato),6.16,844.1,28.0
Gombo (Okra),6.58,873.8,20.6
Niébé (Cowpea),5.8,452.6,25.5
Niébé (Cowpea),6.13,506.4,34.1
Maïs (Maize),6.38,825.9,22.2
Sésame (Sesame),6.2,454.5,25.7
Niébé (Cowpea),5.99,430.6,34.1
Patate douce (Sweet Potato),5.88,1082.6,26.7
Gombo (Okra),6.41,826.3,23.2
Sésame (Sesame),6.42,597.7,29.6
Sésame (Sesame),6.1,698.8,32.3
